#Feld-Nr,e,f,g
0.028,1.4,0.23800000000000002,0.11760000000000001
0.056,1.23,0.2604,0.154
0.084,0.7,0.23800000000000002,0.2156
0.112,0.25,0.182,0.1932
0.14,3.28,0.41159999999999997,0.1624
0.168,3.7,0.4536,0.25479999999999997
0.196,2.8,0.364,0.47600000000000003
0.224,1.6,0.24640000000000004,0.6048
0.252,7,2.2008,0.602
0.28,8,2.4136,0.4256
0.308,6,2.0132000000000003,0.4536
0.336,2.5844,0.3864,1.1143999999999998
0.364,3.8080000000000003,0.6748000000000001,1.4196000000000002
0.392,5.6000000000000005,1.5288000000000002,1.1143999999999998
0.42,5.5440000000000005,2.436,0.5796
0.448,2.7748,1.3916000000000002,0.2912
0.47600000000000003,0.23800000000000002,0.28559999999999997,0.8484
0.504,0.4956,0.364,1.4672
0.532,0.7000000000000001,0.3304,1.5344
0.56,0.2912,0.2156,0.7224
