#Feld-Nr,#Feld-Nr,e,e,f,f,g,g
1.00,0.03,48.4,1.4,8.50,0.24,4.20,0.12
2.00,0.06,43.9,1.2,9.3,0.3,5.50,0.15
3.00,0.08,21.9,0.6,8.50,0.24,7.70,0.22
4.00,0.11,8.50,0.24,6.50,0.18,6.90,0.19
5.00,0.14,117,3,14.7,0.4,5.80,0.16
6.00,0.17,130,4,16.2,0.5,9.1,0.3
7.00,0.20,99,3,13.0,0.4,17.0,0.5
8.00,0.22,55.8,1.6,8.80,0.25,21.6,0.6
9.0,0.3,227,6,78.6,2.2,21.5,0.6
10.0,0.3,260,7,86.2,2.4,15.2,0.4
11.0,0.3,214,6,71.9,2.0,16.2,0.5
12.0,0.3,92,3,13.8,0.4,39.8,1.1
13.0,0.4,136,4,24.1,0.7,50.7,1.4
14.0,0.4,200,6,54.6,1.5,39.8,1.1
15.0,0.4,198,6,87.0,2.4,20.7,0.6
16.0,0.4,99,3,49.7,1.4,10.4,0.3
17.0,0.5,8.50,0.24,10.2,0.3,30.3,0.8
18.0,0.5,17.7,0.5,13.0,0.4,52.4,1.5
19.0,0.5,25.0,0.7,11.8,0.3,54.8,1.5
20.0,0.6,10.4,0.3,7.70,0.22,25.8,0.7
