T^4-T0^4 [10^8*K^4],err_T^4-T0^4 [10^8*K^4],Phi/A_sp[W/m^2],err_Phi/A_sp[W/m^2],Phi/A_ma[W/m^2],err_Phi/A_ma[W/m^2],Phi/A_we[W/m^2],err_Phi/A_we[W/m^2],Phi/A_sw[W/m^2],err_Phi/A_sw[W/m^2]
1.05,0.74,-0.0,0.03,-0.0,0.03,1.0,0.03,0.97,0.03
6.48,0.76,0.17,0.03,0.4,0.03,2.63,0.03,2.53,0.03
12.18,0.78,0.27,0.03,0.7,0.03,4.33,0.03,4.2,0.03
18.17,0.81,0.5,0.03,1.03,0.03,6.07,0.03,6.03,0.03
31.04,0.85,0.9,0.03,1.87,0.03,9.67,0.03,9.57,0.03
37.93,0.88,1.33,0.03,2.33,0.03,12.23,0.03,12.03,0.03
45.16,0.91,1.73,0.03,2.73,0.03,14.3,0.03,13.93,0.03
60.6,0.96,2.17,0.03,3.83,0.03,18.63,0.03,18.7,0.03
77.47,1.02,2.8,0.03,4.8,0.03,23.23,0.03,23.2,0.03
95.82,1.09,3.73,0.03,6.0,0.03,28.6,0.03,28.5,0.03
