m,err_m,phi [rad],err_phi [rad],lambda [m],err_lambda [m]
1.0,0.0,0.04335,0.0003535534,4.365e-07,3.6e-09
2.0,0.0,0.08685,0.0003535534,4.372e-07,1.8e-09
3.0,0.0,0.1303,0.0003535534,4.371e-07,1.2e-09
4.0,0.0,0.1742,0.0003535534,4.38e-07,9e-10
5.0,0.0,0.21855,0.0003535534,4.393e-07,7e-10
6.0,0.0,0.2631,0.0003535534,4.403e-07,6e-10
7.0,0.0,0.30825,0.0007071068,4.417e-07,1e-09
8.0,0.0,0.35425,0.0007071068,4.436e-07,9e-10
9.0,0.0,0.40075,0.0010606602,4.454e-07,1.2e-09
10.0,0.0,0.44875,0.0014142136,4.481e-07,1.4e-09
11.0,0.0,0.4975,0.0014142136,4.508e-07,1.3e-09
